 Td        ID        Tj        Df        Dd        Db
 82       323        76         1         5         6
 82       317        75         1         6         7
 82       344        80         0         2         2
 82       345        80         0         2         2
 82       346        82         0         0         0
 82       336        79         1         2         3
 82       337        79         1         2         3
 83      2019         6         0        77        77
 83       322        76         1         6         7
 83       331        78         1         4         5
 83       332        78         1         4         5
 83       333        78         1         4         5
 83       334        78         1         4         5
 83       348        82         0         1         1
 83       347        82         0         1         1
 83       355        83         0         0         0
 83       354        83         0         0         0
 83       342        80         1         2         3
 83       343        80         1         2         3
 84      2126        31         6        47        53
 84       349        82         0         2         2
 85       339        79         1         5         6
 85       350        82         1         2         3
 86      2072        19         3        64        67
 86       358        84         0         2         2
 86       351        83         1         2         3
 86       352        83         1         2         3
 86       356        84         0         2         2
 86       353        83         1         2         3
 86       357        84         0         2         2
 87      2132        32         6        49        55
 87       359        84         0         3         3
 87       360        84         0         3         3
 88      2138        33         6        49        55
 88       363        86         0         2         2
 88       364        86         1         1         2
 88       365        86         1         1         2
 88       361        86         0         2         2
 88       362        86         0         2         2
 89       366        88         0         1         1
 89       369        88         0         1         1
 89       367        88         0         1         1
 89       370        88         0         1         1
 89       368        88         0         1         1
 90      2353        83         0         7         7
 90      2023         7         0        83        83
 90      2171        41         8        41        49
 90      2172        41         8        41        49
 91       371        89         0         2         2
 91       372        89         0         2         2
 91       373        89         0         2         2
 91       377        90         0         1         1
 91       380        90         0         1         1
 91       374        89         0         2         2
 91       375        89         0         2         2
 92       376        90         0         2         2
 92       378        90         0         2         2
 92       379        90         0         2         2
 93      2178        42         8        43        51
 93      2352        83         0        10        10
 93       383        91         0         2         2
 93       384        91         0         2         2
 93       385        91         1         1         2
 93       381        91         0         2         2
 93       382        91         0         2         2
 93       387        93         0         0         0
 94       389        93         0         1         1
 94       390        93         0         1         1
 95      2150        36         6        53        59
 95      2292        70         1        24        25
 95       386        93         0         2         2
 95       388        93         0         2         2
 95       393        94         0         1         1
 95       391        94         0         1         1
 95       397        95         0         0         0
 95       392        94         0         1         1
 95       394        94         0         1         1
 96      2262        63         4        29        33
 96       395        94         0         2         2
