 Td        ID        Tj        Df        Dd        Db
194       147        47        15       132       147
194       251        83        27        84       111
194       252        83        27        84       111
195       253        83        27        85       112
197      2251        83        27        87       114
197      2252        83        27        87       114
197      2253        83        27        87       114
198       149        47        16       135       151
198       150        47        16       135       151
198       191        65        19       114       133
198       192        65        19       114       133
200       193        65        19       116       135
201      2194        65        20       116       136
201      2195        66        20       115       135
201      2196        66        20       115       135
201       256        87        27        87       114
201       257        87        27        87       114
202       258        87        27        88       115
202       259        87        27        88       115
202       260        87        27        88       115
204      2110        38        11       155       166
205       263        88        28        89       117
205       265        88        28        89       117
205       204        67        21       117       138
205       205        67        21       117       138
206       266        89        28        89       117
206       267        89        28        89       117
207      2264        88        28        91       119
207      2200        67        21       119       140
208      2201        67        21       120       141
208       206        68        21       119       140
208       207        68        21       119       140
208       208        68        21       119       140
209       209        68        22       119       141
209       211        69        21       119       140
210      2269        89        29        92       121
212      2206        68        22       122       144
212      2208        68        23       121       144
212       214        69        22       121       143
212       215        69        22       121       143
214      2270        92        28        94       122
214      2271        92        28        94       122
215      2272        92        28        95       123
216       164        54        17       145       162
216       165        54        17       145       162
217      2273        92        29        96       125
217      2274        92        29        96       125
217      2211        69        23       125       148
218      2212        69        23       126       149
218       128        41        13       164       177
218       166        55        16       147       163
219      2214        69        24       126       150
219       388       125        40        54        94
219       389       125        40        54        94
221      2276        94        29        98       127
221      2277        94        29        98       127
221      2278        94        29        98       127
221      2279        94        29        98       127
221      2280        95        29        97       126
222      2281        95        29        98       127
222      2283        95        29        98       127
222       216        73        22       127       149
222       217        73        22       127       149
222       218        73        22       127       149
222       219        73        22       127       149
223       220        73        22       128       150
223       286        96        30        97       127
225      2287        96        30        99       129
225      2289        96        30        99       129
225       400       127        42        56        98
225       287        96        31        98       129
225       288        96        31        98       129
225       289        96        31        98       129
225       290        96        31        98       129
225       291        97        31        97       128
226       296        98        31        97       128
226       297        98        31        97       128
229      2293        97        30       102       132
229      2294        97        30       102       132
229      2217        73        24       132       156
229      2218        73        24       132       156
229       172        56        18       155       173
231      2219        73        24       134       158
231      2166        55        18       158       176
231      2168        55        18       158       176
231      2297        98        31       102       133
232       304        99        33       100       133
232       305        99        33       100       133
232       226        75        24       133       157
232       227        75        24       133       157
233      2299        98        32       103       135
233      2300        99        31       103       134
233       229        75        24       134       158
234       230        75        24       135       159
234       309       100        34       100       134
235       310       100        34       101       135
235       311       101        33       101       134
236      2307       100        32       104       136
236      2308       100        32       104       136
236       312       101        33       102       135
236       313       101        34       101       135
236       314       101        34       101       135
236       315       101        34       101       135
237       233        76        25       136       161
239      2226        75        25       139       164
239      2227        75        25       139       164
239      2228        75        25       139       164
239      2310       101        32       106       138
239      2311       101        32       106       138
239      2312       101        33       105       138
240      2313       101        33       106       139
240       316       103        34       103       137
240       317       103        34       103       137
241       318       103        34       104       138
241       319       103        34       104       138
242       320       103        34       105       139
242       321       104        34       104       138
243       323       104        34       105       139
243       241        79        26       138       164
244      2316       103        33       108       141
245       330       106        35       104       139
245       247        80        26       139       165
246      2235        77        26       143       169
246      2236        77        26       143       169
247      2092        32        10       205       215
247       248        80        26       141       167
247       249        80        26       141       167
247       250        80        27       140       167
247       331       108        34       105       139
248       332       108        35       105       140
248       333       108        35       105       140
248       334       108        35       105       140
249      2325       106        34       109       143
249      2326       106        35       108       143
249      2327       106        35       108       143
249      2328       106        35       108       143
249      2329       106        35       108       143
250      2243        79        27       144       171
251      2423       142        47        62       109
252       189        62        19       171       190
252       190        62        20       170       190
253      2332       108        35       110       145
253       341       110        36       107       143
254       342       110        36       108       144
254       343       110        36       108       144
255       344       110        36       109       145
255       345       110        36       109       145
258       254        83        27       148       175
259       346       111        37       111       148
260       348       111        37       112       149
260       349       111        37       112       149
261      2340       110        37       114       151
261      2341       110        37       114       151
261      2342       110        37       114       151
261      2343       110        37       114       151
263       255        83        28       152       180
264      2254        83        27       154       181
264      2345       111        37       116       153
264      2346       111        37       116       153
264       451       150        49        65       114
266      2347       111        37       118       155
266       194        65        20       181       201
266       195        65        20       181       201
267      2349       111        38       118       156
267       353       114        37       116       153
267       354       114        37       116       153
269       203        67        20       182       202
270      2191        65        20       185       205
270      2192        65        20       185       205
270      2193        65        20       185       205
270      2350       114        37       119       156
270      2351       114        37       119       156
271      2354       114        37       120       157
272      2255        87        27       158       185
272       264        88        28       156       184
273      2256        87        27       159       186
273      2257        87        27       159       186
273      2258        87        27       159       186
