 Td        ID        Tj        Df        Dd        Db
 61        79        12         8        41        49
 61       396        60         0         1         1
 61       395        60         0         1         1
 62      2379        59         1         2         3
 62      2382        59         1         2         3
 62      2383        59         1         2         3
 62      2386        59         1         2         3
 62      2413        62         0         0         0
 62      2411        62         0         0         0
 62      2370        58         1         3         4
 62      2371        58         1         3         4
 62       370        58         0         4         4
 62       373        58         0         4         4
 63      2388        60         1         2         3
 63      2389        60         1         2         3
 63      2407        62         0         1         1
 63      2403        61         0         2         2
 63      2399        61         0         2         2
 63      2390        60         1         2         3
 63      2391        60         1         2         3
 63      2392        60         1         2         3
 63      2393        60         1         2         3
 63      2394        60         1         2         3
 63       369        57         0         6         6
 63       376        58         0         5         5
 63       400        61         0         2         2
 64      2380        59         1         4         5
 64      2421        63         0         1         1
 64      2400        61         0         3         3
 64      2412        62         0         2         2
 64      2418        63         0         1         1
 64      2384        59         1         4         5
 64      2385        59         1         4         5
 64       393        60         1         3         4
 64       385        59         1         4         5
 64       394        60         0         4         4
 64        30         5         2        57        59
 64       409        62         0         2         2
 64       407        62         0         2         2
 65      2428        64         0         1         1
 65      2416        63         0         2         2
 65      2426        64         0         1         1
 65      2404        61         2         2         4
 65      2387        60         1         4         5
 65       429        64         0         1         1
 65        31         5         2        58        60
 65       390        60         4         1         5
 66      2429        64         2         0         2
 66      2395        60         1         5         6
 66      2405        62         2         2         4
 66      2434        65         0         1         1
 66      2432        65         0         1         1
 66      2381        59         1         6         7
 67      2415        63         1         3         4
 67      2419        63         1         3         4
 67      2420        63         2         2         4
 67      2396        61         2         4         6
 68      2397        61         2         5         7
 68      2401        61         2         5         7
 68      2402        61         2         5         7
 68      2423        64         1         3         4
 68      2424        64         1         3         4
 68      2425        64         1         3         4
 68      2451        67         0         1         1
 68       406        62         0         6         6
 68       415        63         0         5         5
 68        33         5         2        61        63
 68       457        67         0         1         1
 68       452        67         0         1         1
 69      2427        64         2         3         5
 69      2430        64         2         3         5
 69      2431        64         2         3         5
 69      2406        62         2         5         7
 69      2460        68         0         1         1
 69      2472        69         0         0         0
 69      2410        62         2         5         7
 69      2414        63         1         5         6
 69       437        65         1         3         4
 69       454        67         0         2         2
 69       451        67         1         1         2
 70      2417        63         1         6         7
